Date_num;Misura;f_Hz;eps_re;u_eps_re;eps_im;u_eps_im;Strumento;H_cm;LWC;u_LWC;density;u_density
'22/01/2025 11:35';1.00;1.55E+09;1.50;0.03;5.9E-03;5.57E-04;cil;66;0.0040;0.0004;0.253;0.017
'22/01/2025 11:35';1.00;2.15E+09;1.52;0.04;9.1E-03;2.46E-04;cil;66;0.0044;0.0001;0.261;0.017
'22/01/2025 11:35';1.00;2.74E+09;1.53;0.04;1.9E-02;3.65E-04;cil;66;0.0069;0.0001;0.253;0.017
'22/01/2025 11:35';1.00;3.33E+09;1.53;0.04;2.3E-02;6.60E-04;cil;66;0.0072;0.0002;0.252;0.017
'22/01/2025 11:37';2.00;1.56E+09;1.50;0.03;5.2E-03;5.43E-04;cil;66;0.0035;0.0004;0.252;0.017
'22/01/2025 11:37';2.00;2.15E+09;1.52;0.04;8.0E-03;2.35E-04;cil;66;0.0039;0.0001;0.259;0.017
'22/01/2025 11:37';2.00;2.75E+09;1.51;0.04;1.5E-02;2.82E-04;cil;66;0.0055;0.0001;0.252;0.017
'22/01/2025 11:37';2.00;3.34E+09;1.51;0.04;1.9E-02;4.61E-04;cil;66;0.0058;0.0001;0.251;0.017
'22/01/2025 11:43';3.00;1.94E+09;1.88;0.04;7.7E-03;3.50E-04;cil;51;0.0042;0.0002;0.424;0.019
'22/01/2025 11:43';3.00;2.48E+09;1.88;0.04;1.2E-02;3.04E-04;cil;51;0.0052;0.0001;0.420;0.019
'22/01/2025 11:43';3.00;3.01E+09;1.88;0.04;1.9E-02;4.04E-04;cil;51;0.0065;0.0001;0.417;0.019
'22/01/2025 11:43';3.00;3.53E+09;1.89;0.05;3.6E-02;1.07E-03;cil;51;0.0103;0.0003;0.405;0.020
'22/01/2025 11:46';4.00;1.97E+09;1.82;0.04;4.8E-03;4.55E-04;cil;51;0.0026;0.0002;0.403;0.019
'22/01/2025 11:46';4.00;2.51E+09;1.83;0.04;7.2E-03;2.11E-04;cil;51;0.0030;0.0001;0.406;0.019
'22/01/2025 11:46';4.00;3.06E+09;1.82;0.04;1.1E-02;2.90E-04;cil;51;0.0037;0.0001;0.398;0.019
'22/01/2025 11:46';4.00;3.58E+09;1.83;0.04;1.6E-02;3.84E-04;cil;51;0.0046;0.0001;0.403;0.019
'22/01/2025 11:51';5.00;1.42E+09;1.81;0.04;8.1E-03;6.19E-04;cil;33;0.0059;0.0004;0.388;0.019
'22/01/2025 11:51';5.00;1.97E+09;1.81;0.04;1.0E-02;3.06E-04;cil;33;0.0054;0.0002;0.391;0.019
'22/01/2025 11:51';5.00;2.52E+09;1.81;0.04;1.5E-02;3.04E-04;cil;33;0.0060;0.0001;0.387;0.019
'22/01/2025 11:51';5.00;3.06E+09;1.81;0.04;2.3E-02;5.65E-04;cil;33;0.0075;0.0002;0.384;0.019
